TreeID,Column,Row,TreeDeath,TreeDeathDate,TreePlantDate,TreeVarietyName
3078,U,82,1,7/1/2019,5/12/2016,Marigoule
4239,V,82,1,7/1/2019,5/12/2018,Maraval
3579,W,40,1,7/1/2019,5/12/2017,Colossal
3587,W,48,1,7/1/2019,5/12/2017,Colossal
3615,W,76,1,7/1/2019,5/12/2017,Colossal
3656,X,5,1,7/1/2019,5/12/2017,Colossal
3734,X,83,1,7/1/2019,5/12/2017,Colossal
3735,X,84,1,7/1/2019,5/12/2017,Colossal
3736,X,85,1,7/1/2019,5/12/2017,Colossal
3754,X,103,1,7/1/2019,5/12/2017,Colossal
3846,Y,83,1,7/1/2019,5/12/2017,Colossal
3849,Y,86,1,7/1/2019,5/12/2017,Colossal
3888,Z,13,1,7/1/2019,5/12/2017,Colossal
3943,Z,68,1,7/1/2019,5/12/2017,Colossal
3945,Z,70,1,7/1/2019,5/12/2017,Colossal
3946,Z,71,1,7/1/2019,5/12/2017,Colossal
1727,ZZZ,1,1,9/1/2016,10/17/2014,Marsol
1787,ZZZ,61,1,9/1/2016,10/17/2014,Bouche de Betizac
1788,ZZZ,62,1,9/1/2016,10/17/2014,Bouche de Betizac
1789,ZZZ,63,1,9/1/2016,10/17/2014,Bouche de Betizac
1704,ZZZ,94,1,6/1/2014,10/17/2013,Precoce Migoule
1705,ZZZ,95,1,9/1/2016,10/17/2013,Precoce Migoule
1706,ZZZ,96,1,6/1/2014,10/17/2013,Precoce Migoule
1711,ZZZ,101,1,6/1/2014,10/17/2013,Precoce Migoule
1715,ZZZ,105,1,6/1/2014,10/17/2013,Precoce Migoule
1718,ZZZ,108,1,6/1/2014,10/17/2013,Precoce Migoule
1719,ZZZ,109,1,6/1/2014,10/17/2013,Precoce Migoule
1720,ZZZ,110,1,6/1/2014,10/17/2013,Precoce Migoule
1721,ZZZ,111,1,6/1/2014,10/17/2013,Precoce Migoule
1722,ZZZ,112,1,6/1/2014,10/17/2013,Precoce Migoule
1724,ZZZ,114,1,6/1/2014,10/17/2013,Precoce Migoule
